node,x,y,z,x_2d,y_2d
LARS1,1.2433192729949951,-0.417607843875885,2.224458694458008,4.252862453460693,-3.209744453430176
ARC,1.2837965488433838,0.4424079954624176,2.0097410678863525,6.4016947746276855,-3.8918187618255615
GPR158,1.2766618728637695,-0.5916326642036438,2.527421236038208,4.01693058013916,-3.1541614532470703
MARK2,2.066164016723633,2.258979082107544,-0.167221337556839,14.882262229919434,0.9910462498664856
RPS4Y1,1.87800395488739,-0.0321078188717365,2.5381851196289062,5.2398223876953125,-6.148012638092041
POLR3A,1.7573233842849731,2.1144306659698486,1.0538274049758911,13.540410995483398,0.6395485997200012
NOMO3,1.8743773698806765,0.4601044952869415,1.5647646188735962,7.717334747314453,-3.9644265174865723
ADIPOQ,-1.7885799407958984,-1.993263363838196,-0.4441258907318115,0.8183517456054688,11.821913719177246
WDR1,3.9254188537597656,1.575995683670044,6.065733909606934,8.467727661132812,-10.759188652038574
GORAB,1.3956782817840576,-0.5042108297348022,1.9530543088912964,4.785029888153076,-3.125166893005371
HLA-DOA,1.548214316368103,0.9091817736625672,1.540348768234253,8.237865447998047,-3.702768564224243
N4BP1,1.942256212234497,0.8389255404472351,1.8945831060409544,7.929437637329102,-5.0019378662109375
SLC35F2,1.289820432662964,0.0031954441219568,2.087040901184082,5.020133018493652,-3.3425638675689697
CS,1.3067445755004885,0.1508604139089584,1.7990890741348269,6.326538562774658,-2.8200275897979736
NEPRO,1.205335259437561,-0.111068420112133,1.966493010520935,4.893592357635498,-2.7380709648132324
LAMTOR1,-2.244819641113281,1.2204537391662598,-2.1560192108154297,11.446737289428711,10.974966049194336
NUP210,1.6186902523040771,0.9603159427642822,2.609710693359375,6.92860746383667,-6.4906535148620605
RPL34,1.2621581554412842,0.4604243636131286,1.7407180070877075,6.826950550079346,-3.0053200721740723
KCTD20,1.6894915103912354,0.4925834834575653,1.8105708360672,7.403275012969971,-4.491617202758789
SYP,-0.4649860560894012,-2.114528179168701,0.8678594827651978,-1.1527104377746582,4.2002177238464355
MAPKAPK3,6.537459373474121,8.777101516723633,3.327885389328003,22.37132453918457,8.18125057220459
PSMF1,-0.2969561219215393,0.207530066370964,1.1926921606063845,7.167863845825195,3.5073163509368896
